screen	row	column	marker	cell_line
171013-TetON-d50C661S-Calnexin_20171013_162142	1	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	2	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	3	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	4	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	5	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	6	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	7	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	8	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	9	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	10	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	11	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	12	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	13	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	14	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	15	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	16	1		
171013-TetON-d50C661S-Calnexin_20171013_162142	1	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	2	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	3	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	4	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	5	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	6	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	7	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	8	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	9	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	10	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	11	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	12	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	13	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	14	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	15	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	16	2		
171013-TetON-d50C661S-Calnexin_20171013_162142	1	3		
171013-TetON-d50C661S-Calnexin_20171013_162142	2	3		
171013-TetON-d50C661S-Calnexin_20171013_162142	3	3		
171013-TetON-d50C661S-Calnexin_20171013_162142	4	3		
171013-TetON-d50C661S-Calnexin_20171013_162142	5	3		
